Taxon	IBD.15.A	IBD.60	IBD.48	IBD.29.A	IBD.30	neg.05	IBD.2	neg.11	neg.17	neg.23	IBD.32.B	neg.18	neg.20	IBD.68	neg.24	IBD.50.A	neg.07	neg.08	IBD.1.B	neg.01	IBD.36	IBD.50	IBD.45.B	IBD.45.A	IBD.70	IBD.1.A	IBD.32.A	IBD.6.A	neg.26	neg.14	neg.16	neg.19	IBD.31	IBD.16.A	IBD.51.A	IBD.50.B	IBD.6.B	IBD.2.B	IBD.2.A	neg.04	IBD.43	IBD.28.B	neg.12	IBD.46	IBD.73	neg.02	IBD.16.B	IBD.51.B	neg.06	IBD.34	neg.25	neg.10	neg.15	neg.27	IBD.10	neg.03	neg.13	IBD.61	neg.22	IBD.43.B	IBD.38	IBD.9	neg.09	IBD.43.A	IBD.15.B	IBD.3	IBD.29.B	neg.21	IBD.40	IBD.42.B	IBD.42.A	IBD.8.A	IBD.4	IBD.58	IBD.20	IBD.22	IBD.37	IBD.8.B	IBD.28.A	IBD.8	IBD.51	IBD.6	IBD.18	IBD.48.B	IBD.48.A	IBD.33	IBD.29	neg.29	neg.30	neg.28
Unassigned;Other	0.0468805075784	0.0306198655713	0.0275162925416	0.0179926904695	0.0276872964169	0.00691625319501	0.0203535083021	0.027360988526	0.0286885245902	0.0605794556629	0.255260750229	0.0171842025927	0.00851063829787	0.0130331753555	0.011107946454	0.0651748859439	0.00713153724247	0.0135107884654	0.446744780196	0.0071754729289	0.010481181515	0.0134498991258	0.560020090407	0.593132154006	0.0113122171946	0.180072823568	0.109216136438	0.0526683989606	0.0212355212355	0.00758818703856	0.0163806552262	0.00653238976592	0.0141809290954	0.067680608365	0.0169929016993	0.108974358974	0.153474700819	0.0295679886686	0.035217035217	0.0096215522771	0.0153677277717	0.180647406892	0.00615835777126	0.0133146461107	0.0447991761071	0.011611030479	0.0496652990715	0.0422944752842	0.0112612612613	0.0147148988351	0.0131715771231	0.0116489774786	0.00834879406308	0.00654545454545	0.022792022792	0.0175485243286	0.0140196274785	0.0244282744283	0.0106112054329	0.715937657114	0.0213114754098	0.0120481927711	0.0106449592987	0.343277945619	0.149752945648	0.0294771968854	0.070523547693	0.011292834891	0.0203942895989	0.211248285322	0.0627090301003	0.082961947206	0.0125	0.0310296191819	0.00687285223368	0.0316573556797	0.0226221079692	0.111682964488	0.141432791728	0.0151883353584	0.00819155639572	0.0142617449664	0.0177447052089	0.373146622735	0.662449683726	0.0149965916837	0.00887021475257	0.0161981258367	0.0164621835689	0.00330500472144
k__Archaea;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.000535618639529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.8097964937e-05	0.0	0.000476417341591	0.0	0.00100452034154	0.0	0.0	0.0	0.0	9.99400359784e-05	0.0	0.0	0.0	0.0	0.0	0.000253485424588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000760167236792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00186219739292	0.0	0.000128667009779	0.0	0.0	0.0	0.0	0.0	0.0	0.00115008625647	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota	0.000587475032311	0.00224047796863	0.00506879073135	0.0	0.0	0.0	0.00160685591859	0.0	0.0	0.0	0.000457456541629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00193815522861	0.0	0.00142925202477	0.00201748486886	0.00100452034154	0.0	0.00113122171946	0.00165508109897	0.0	0.00119928043174	0.0	0.0	0.0	0.0	0.0	0.0	0.00064530006453	0.0	0.00104975855553	0.0	0.0	0.0	0.00219538968167	0.0	0.0	0.0	0.00154479917611	0.0	0.000863744331678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000265886732252	0.0	0.0	0.0	0.00150829562594	0.0	0.0	0.0	0.00151057401813	0.00266058532877	0.00055617352614	0.0	0.0	0.0	0.0	0.0	0.00205690778197	0.0	0.00423131170663	0.0	0.00372439478585	0.00154241645244	0.000643335048893	0.000369276218612	0.0	0.0	0.0	0.0	0.0	0.0017251293847	0.0013633265167	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota	0.0	0.000746825989544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.8097964937e-05	0.0	0.0	0.000672494956288	0.00100452034154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000253485424588	0.00021510002151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000265886732252	0.0	0.0	0.0	0.0010055304173	0.0	0.0	0.0	0.0151057401813	0.000380083618396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000128667009779	0.000369276218612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;Other	0.00129244507108	0.0	0.0	0.000140567894293	0.00108577633008	0.00105247331228	0.00321371183717	0.00132391879965	0.00129421915444	0.000702370500439	0.000457456541629	0.000301477238468	0.000490998363339	0.00236966824645	0.000284819139846	0.0	0.00026413100898	0.000403307118371	0.000440489824685	0.0	0.0052405907575	0.00470746469401	0.000502260170768	0.00104058272633	0.0	0.0	0.0016398819285	0.00119928043174	0.001755001755	0.000615258408532	0.000780031201248	0.000544365813827	0.000977995110024	0.00126742712294	0.00064530006453	0.000582750582751	0.000629855133319	0.00070821529745	0.000273000273	0.0	0.00164654226125	0.00139227288549	0.0	0.0021023125438	0.000514933058702	0.000725689404935	0.0	0.000264340470526	0.000225225225225	0.00306560392397	0.000693240901213	0.000258866166192	0.0021645021645	0.00145454545455	0.000712250712251	0.000265886732252	0.000801121570198	0.00259875259875	0.000636672325976	0.000502765208648	0.000819672131148	0.0	0.000313087038197	0.0	0.00114025085519	0.00222469410456	0.000239062873536	0.000778816199377	0.00271923861319	0.000914494741655	0.0	0.0	0.000961538461538	0.00282087447109	0.0	0.00837988826816	0.00154241645244	0.000772002058672	0.0	0.0	0.00504095778198	0.0	0.0	0.0	0.000575043128235	0.0027266530334	0.00560224089636	0.000267737617135	0.000155303618574	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000476417341591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.0	0.00448095593727	0.000724112961622	0.000281135788586	0.00108577633008	0.000451059990979	0.0123192287092	0.000882612533098	0.00150992234685	0.000351185250219	0.00137236962489	0.000301477238468	0.000490998363339	0.00118483412322	0.000142409569923	0.00108624809907	0.00343370311675	0.000201653559185	0.000528587789622	0.000652315720809	0.00238208670796	0.00336247478144	0.0	0.000520291363163	0.0237556561086	0.00132406487918	0.0	0.000399760143914	0.000526500526501	0.00123051681706	0.00286011440458	0.00326619488296	0.0136919315403	0.000253485424588	0.00043020004302	0.0011655011655	0.000419903422213	0.00318696883853	0.003822003822	0.0	0.0	0.0	0.00351906158358	0.0021023125438	0.00257466529351	0.000725689404935	0.000431872165839	0.0	0.0101351351351	0.00306560392397	0.00051993067591	0.000517732332384	0.000618429189858	0.00181818181818	0.0121082621083	0.00106354692901	0.00100140196275	0.0	0.00106112054329	0.00251382604324	0.00409836065574	0.00100401606426	0.0	0.000755287009063	0.000380083618396	0.0166852057842	0.00239062873536	0.0	0.0142760027192	0.00228623685414	0.00752508361204	0.000342817963661	0.00817307692308	0.00141043723554	0.0114547537228	0.00186219739292	0.00822622107969	0.000772002058672	0.0	0.00182260024301	0.00504095778198	0.00167785234899	0.00629650829994	0.00494233937397	0.00402530189764	0.0068166325835	0.00373482726424	0.00133868808568	0.0	0.0
k__Bacteria;p__Bacteroidetes	0.0610974033604	0.0194174757282	0.02679217958	0.195529940961	0.0103148751357	0.723951285521	0.0171397964649	0.0692850838482	0.207075064711	0.499912203687	0.399359560842	0.474826650588	0.607528641571	0.303317535545	0.615351751638	0.258527047578	0.259904912837	0.743899979835	0.438904061316	0.438356164384	0.0433539780848	0.0376597175521	0.298342541436	0.279916753382	0.159502262443	0.538563389606	0.445719908167	0.462522486508	0.513162513163	0.16201804758	0.667446697868	0.553620032662	0.365770171149	0.429657794677	0.680146268015	0.265734265734	0.425152214991	0.510446175637	0.381381381381	0.0756895445799	0.240395170143	0.589279498782	0.0983870967742	0.316047652418	0.0499485066941	0.0486211901306	0.472468149428	0.655564366905	0.610585585586	0.340282035561	0.692201039861	0.631633445509	0.28354978355	0.266909090909	0.00569800569801	0.293007178942	0.286400961346	0.245841995842	0.318548387097	0.14479638009	0.0770491803279	0.771084337349	0.452097683156	0.321752265861	0.146332193082	0.0489432703003	0.577575902462	0.403816199377	0.264445955133	0.589849108368	0.753762541806	0.625642783682	0.0557692307692	0.0479548660085	0.0950744558992	0.0754189944134	0.00205655526992	0.623648996397	0.60376661743	0.778250303767	0.115942028986	0.0260067114094	0.028048082427	0.00164744645799	0.0	0.00886162235855	0.27731092437	0.000669344042838	0.000776518092872	0.0
k__Bacteria;p__Chloroflexi	0.000117495006462	0.0	0.0	0.0	0.0	0.0	0.000535618639529	0.000220653133274	0.0	0.00017559262511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000351000351	0.0	0.0	0.0	0.000488997555012	0.000253485424588	0.0	0.0	0.000209951711106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000514933058702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000363636363636	0.0	0.0	0.0	0.000519750519751	0.000424448217317	0.0	0.0	0.0	0.0	0.0	0.0	0.00055617352614	0.0	0.0	0.0	0.0	0.0	0.0	0.000480769230769	0.0	0.0	0.0	0.0	0.0	0.0	0.000607533414338	0.0	0.0	0.000572409845449	0.0	0.0	0.00068166325835	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria	0.0	0.0	0.0	0.0	0.000542888165038	0.000300706660653	0.0	0.000220653133274	0.0	0.0	0.0	0.0	0.0	0.00118483412322	0.00113927655938	0.0	0.0	0.0	8.8097964937e-05	0.0	0.0	0.0	0.0	0.0	0.00113122171946	0.0	0.0	9.99400359784e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00280308339173	0.000514933058702	0.00290275761974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0105672969967	0.000239062873536	0.0	0.0	0.0	0.0	0.0	0.00144230769231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
